100,3,rand,focus,RESULT:nfaults:502:nreads:301:nwrites:0
100,13,rand,focus,RESULT:nfaults:487:nreads:293:nwrites:0
100,23,rand,focus,RESULT:nfaults:454:nreads:274:nwrites:0
100,33,rand,focus,RESULT:nfaults:429:nreads:260:nwrites:0
100,43,rand,focus,RESULT:nfaults:398:nreads:237:nwrites:0
100,53,rand,focus,RESULT:nfaults:367:nreads:216:nwrites:0
100,63,rand,focus,RESULT:nfaults:342:nreads:194:nwrites:0
100,73,rand,focus,RESULT:nfaults:300:nreads:171:nwrites:0
100,83,rand,focus,RESULT:nfaults:280:nreads:156:nwrites:0
100,93,rand,focus,RESULT:nfaults:231:nreads:121:nwrites:0
100,3,filo,focus,RESULT:nfaults:6:nreads:3:nwrites:0
100,13,filo,focus,RESULT:nfaults:526:nreads:307:nwrites:0
100,23,filo,focus,RESULT:nfaults:498:nreads:288:nwrites:0
100,33,filo,focus,RESULT:nfaults:466:nreads:267:nwrites:0
100,43,filo,focus,RESULT:nfaults:444:nreads:251:nwrites:0
100,53,filo,focus,RESULT:nfaults:352:nreads:200:nwrites:0
100,63,filo,focus,RESULT:nfaults:316:nreads:177:nwrites:0
100,73,filo,focus,RESULT:nfaults:282:nreads:155:nwrites:0
100,83,filo,focus,RESULT:nfaults:260:nreads:139:nwrites:0
100,93,filo,focus,RESULT:nfaults:228:nreads:118:nwrites:0
100,3,custom,focus,RESULT:nfaults:502:nreads:301:nwrites:0
100,13,custom,focus,RESULT:nfaults:487:nreads:293:nwrites:0
100,23,custom,focus,RESULT:nfaults:454:nreads:274:nwrites:0
100,33,custom,focus,RESULT:nfaults:429:nreads:260:nwrites:0
100,43,custom,focus,RESULT:nfaults:398:nreads:237:nwrites:0
100,53,custom,focus,RESULT:nfaults:367:nreads:216:nwrites:0
100,63,custom,focus,RESULT:nfaults:342:nreads:194:nwrites:0
100,73,custom,focus,RESULT:nfaults:300:nreads:171:nwrites:0
100,83,custom,focus,RESULT:nfaults:280:nreads:156:nwrites:0
100,93,custom,focus,RESULT:nfaults:231:nreads:121:nwrites:0
100,3,rand,scan,RESULT:nfaults:1200:nreads:1100:nwrites:0
100,13,rand,scan,RESULT:nfaults:1200:nreads:1100:nwrites:0
100,23,rand,scan,RESULT:nfaults:1193:nreads:1093:nwrites:0
100,33,rand,scan,RESULT:nfaults:1145:nreads:1045:nwrites:0
100,43,rand,scan,RESULT:nfaults:1068:nreads:968:nwrites:0
100,53,rand,scan,RESULT:nfaults:974:nreads:874:nwrites:0
100,63,rand,scan,RESULT:nfaults:838:nreads:738:nwrites:0
100,73,rand,scan,RESULT:nfaults:691:nreads:591:nwrites:0
100,83,rand,scan,RESULT:nfaults:528:nreads:428:nwrites:0
100,93,rand,scan,RESULT:nfaults:334:nreads:234:nwrites:0
100,3,filo,scan,100,13,filo,scan,100,23,filo,scan,RESULT:nfaults:980:nreads:880:nwrites:0
100,33,filo,scan,100,43,filo,scan,RESULT:nfaults:86:nreads:43:nwrites:0
100,53,filo,scan,RESULT:nfaults:680:nreads:580:nwrites:0
100,63,filo,scan,RESULT:nfaults:580:nreads:480:nwrites:0
100,73,filo,scan,RESULT:nfa
100,83,filo,scan,RESULT:nfa
100,93,filo,scan,RESULT:nfa
100,3,custom,scan,RESULT:nfaults:1200:nreads:1100:nwrites:0
100,13,custom,scan,RESULT:nfaults:1200:nreads:1100:nwrites:0
100,23,custom,scan,RESULT:nfaults:1193:nreads:1093:nwrites:0
100,33,custom,scan,RESULT:nfaults:1145:nreads:1045:nwrites:0
